text,label
Near a freeway but thick windows so silent.  Food overpriced.  Ordered a piza and glass of milk and cost $35 and not even very good.  No nearby stores or restaurants so you are stuck with hotel food.  The food items in little gift shop pantry not good either.  All junk food. Beds were good.  You can save $50 t0 $80 by staying at one of the other chains nearby but risk more noise and less comfortable bed so I paid up.  Airport shuttle from air train stop P4 does not come on a fixed schedule and only every 25 minutes or so so if you miss it can be kind of frustrating to wait in the cold. Shuttle to airport filled up so I had to wait for the next one so be careful about this.  They don't do reservations. Allow time or be front in line. But all in all I got what I wanted.,1
I liked the accommodations| the bedding and bed were extremely comfortable. The free shuttle service was also very convenient and very speedy! The bathroom on the other hand was very slow to drain and toilet also clogged up.,1
The airport shuttle from the airport only comes at their convenience| a group of 10 had to wait over 45 minutes to be picked up.  Do not stay at this hotel if you need to rely on the airport shuttle.,0
Stayed here on route to a family wedding. Buffet breakfast was nice. It wasn't a free breakfast| but wasquite good. Rooms are clean| spacious and quiet.Beds are very comfortable. The shuttle to the airport runs every 20 minutes.,1
The Cleaness and a Very helpful staff. The hotel shuttle bus clean and the driver well dress.,1
This property is nothing compared to the Hilton brand ...,0
I didn't like that there was no refrigerator in the room. Parking should be free for guests (valet $32 or Self parking garage $24),1
Conveniently close to the airport. Good shuttle to hotel.,1
Clean rooms. The hotel was very nice looking although I had no time to take a tour. The bus took long load us at airport... maybe because it was a holiday and was really crowded.Starbucks was only open until about 11:30 or 12 pm. Would of been nice longer hours but everything was good.,1
I didn't not appreciate the check in person who simply took a man who bullied his way straight to the desk ignoring people in line| but put us two women into the wait line which was not moving because he was being avoided| no one wanted to deal with him. So I waited my turn and told him| I didn't appreciate being discriminated against as women| him having checked in the bully without comment first. the rest was human neutrality on both our parts of the conversation. He appears to be a sadist and I would prefer a polite friendly person rather than a passive aggressive one. Thank you,1
Our flight was 12 hours late but they kept our reservations and were very polite at checkin at 4am. Service was exceptional.,1
Everything was clean and nice.. Staff was also nice,1
Room is very clear|nice service.checkin and check out fast. Thanks,1
Mostly good. Could have been cleaner as there were some small stains on the bed sheets etc. The room itself needed new decorations and appeared somewhat dated.,1
Facility needs upgrades| but room wasn't bad. Food and drink we're crazy expensive.,1
As I entered into the hotel| I was amazed at the design of the hotel! It was so classy and beautiful. However| upon entering into my room| I was disappointed by the two small double beds. I have stayed at many hotels|  so I have seen a normal size full| or queen double bed| that can accommodate two people. Lastly| when it was time for me to check out| the receptionist informed me that I had to pay $18.00 for parking! Oouch! Talk about being flabbergasted. The receptionist stated that the sign is located in front of the parking lot| but once again| I have stayed at many hotels| so parking is free if you stay overnight. But other than that| I enjoyed myself.,1
Close to airport without the noise of the planes flying overhead.,1
Communication with Expedia was very poor - no response to email enquiry,1
Easy access to airport| very friendly staff 2nd time here and no complaints,1
Nice location near airport. They have a free shuttle| but we had to ride 2 different air trains at Airport to get to pick up location. Room was nice but we found leftover food from previous guests in the fridge.,1
Staff answered any question that I happened to have.Bar had Dogfish Head 60-minute (one of my faves) on-tap = BONUSBreakfast was great (French Toast) furniture in there looking a bit worn..,1
Was not up to standard i was expecting.Staff were very friendly and Breakfast was extra| expensive and not up to the quality i usually get from a Hilton Hotel.,0
This hotel is close by the airport with shuttle service,1
Convenience of an in-house restaurant| especially as we arrived after an early flight out of NYC,1
Overnight stay returning from an international flight to flight on home. Clean room| excellent room service. Staff kind and pleasant,1
The staff was wonderful and pleasant from the very beginning. Loved there was a pool. Not enough parking.,1
It was great experience all around. Online downside would've been parking| however| everything else was great and as expected.,1
It was ok! Parking could have been better and less!,1
Great stay for a layover,1
The restaurant was useless| uninviting| service staff unfriendly and slow. Furniture in the bar area was outdated and so heavy one could not move a chair for more comfort.,1
The trip was great everything when as plan.,1
Very nice property| staff in general is very nice and kind (particularly Bell and Front Desk Staff). Very conveniently located near Newark airport. Shuttle service could be better| but in general the level of service received at the property is fantastic,1
How and where the restaurant was set up was unique and pleasant.,1
My stay was fabulous only thing the hotel needs is more food options,1
The ticket gates leaving the parking lot took 20 minutes to work. The first time leaving it wouldn't accept my card. Then upon check out it took my ticket but would not let me pay. It was Avery stressful experience exiting the parking lot.,1
The staff was poorly trained and not up to Hilton Standards.  My A/C went out and the motor was putting out a gas smell.  I called and called their guest line and no one would answer.  I literally had to go down to the front desk in my pajamas to get the problem taken care of.,0
Very conveniently located with quick access to Turnpike and Newark Penn Station.,1
Close to the airport. Shuttle service was a life saver.,1
Larry was the ONLY employee in that place that delivered outstanding customer service from the moment we arrived! We really appreciate Larry so much! We had so many issues with the other staff not wanting us to give us extra water bottles|blankets| and no one being at the restaurants to assist us. Terrible experience overall. Will never book this hotel again. Larry was the only great thing about this place.,0
The room was clean and the staff was extremely helpful and accommodating.,1
Thanks. Great location if going to the airport. Clean and friendly.,1
Free shuttle to the airport... Great customer services.,1
The staff was very nice and helpful. The hotel shuttle was very convenient to and from the airport. My only problem was that i didn't have a microwave in the room.,1
Staff is rude| technically Ghetto.... They treated me with disregard and very unprofessional. Was standing in front of check in and was ignored for 15 min before they asked me how they could help me. In the morning when I went to eat breakfast I was seated and then got up to serve myself breakfast to only find out that my table was given to someone else and had to wait for staff to fix another table for me. Overall worst Hilton Ive ever stayed in. I love Hilton Hotels I always stay in them anywhere I go but I would not recommend this one particular location.,0
Very clean. Polite staff. Quiet and comfortable room. The airport shuttle was very fast.,1
Clean| up to date| nice amenities| have to pay for parking which I didn't like| and room service is a little pricey but over all good hotel.,1
The property and staff were first rate. When we arrived the hotel had no record of our expedia reservation. It took a while to sort this out but we eventually got a room and our expedia reservation and payment were honored. Staff were very good to us during our wait.,1
IIt is a old run down hotel .  can see that they are dong omething but I should have known it was going through a constiction phase.,0
This was my second time staying here| as the previous stay was brilliant.   Service|cleanliness|etc was without a fault.  Both stays were for 1 night as we used it for a stop on our way to a cruise the next day .   My only complaint was the prices in the restaurant.  The food was fantastic| and interaction with the host|waitstaff and chef was excellent.   But felt hostage to the prices in the restaurant as there was no other food options around| being without a vehicle. Nothing Available in walking distance.,1
Good Hotel| close to airport,1
The hotel is Very convenient for flights out of EWR,1
This hotel is not worthy of the Hilton label. There appears to be some reconstruction underway| however| the property is so outdated it would take a complete gutting to change it to a name worthy of Hilton. Mattress of inferior quality to todays standards.,0
Staff was friendly and helpful.  Upgraded me but to a room that obviously had a smoker in it.,0
Close to airport but a depressing property - poor condition.,0
We always stay at the Hilton Newark Airport when we travel. Staff are always so friendly. Accommodations are comfortable and always clean.,1
Room Service was excellent and the Manager| Larry was very helpful. The room was very clean and the bed was comfortable. The wifi was very good too! While there was some construction in the lobby| the property was still in good shape. There are shuttles to the airport and a parking garage steps away from the hotel| You also have the option of Valet parking. You could not be closer to the airport. I would stay again!,1
Bar downstairs was the only bright spot.,0
the room was nice and I slept well. The restaurant food was ok|,1
The hotel was a last minute decision due to cancelled flight. The room is nice. The restaurant in lobby is great. Great food and service,1
Close to airport. Shuttle service efficient| running every 20 minutes.,1
Stayed here after our flight was canceled. Great hotel. Clean with updated rooms. Very comfortable and the bar area had great service.,1
Late night checkin. Easy and fast. Free waters with my Rewards #. Grand lobby. Not loud. Could not even hear the traffic| and no airplane noise at all. Professional staff.Great TV. Great internet. Great nights sleep.,1
On a positive note| the bed was comfortable| there is a Starbucks in the hotel and it appears to be well maintained (other than the housekeeping issues).,0
Dusty rooms. Check out a day earlier because of all the dust and awful smells like humidity in the room.,0
Everything was perfect Room so clean Stuff so friendly,1
I didn't like anything about the property. No courtesy or compassion from any of the staff.  I had to park my car far away from the hotel next to a graveyard because there was no parking available. The worst experience ever.,0
Good location| security need some training to threat guests with respect when informing| rooms dirty lots of dust.,1
Stayed overnight inbetween a connecting flight. Free shuttle was quick and extremely convenient. Beds were comfortable but very small and the restaurant downstairs is very overpriced for what you receive.,1
Proximity to Newark Airport| only 7 minutes drive away!!! Service staff are very patience with guest requests. Compliments to the hotel shuttle drivers!  The hotel shuttle that I tried to board was overcrowded but my luggages and my family are already on board. The driver made the initiative to call his backup shuttle immediately to pick the remaining guests| saving us from the blizzaring cold.,1
Everything was good. The pool was nice. Should stay open later,1
great room great breakfast shuttle from the airport made it easy to get to the hotel,1
I like that the property is close to the airport| I did not like the pillows on the bed and| the expensive parking that guest has to pay|,1
Perfect ambient clean rooms super comfort bed and friendly staff,1
Good staff. Rooms could use better lighting. ............................................,1
If you don't want to pay high Manhattan hotel prices| and don't mind taking a little time to get there from Jersey| this is a great place to stay!  The free hotel shuttle runs to and from the hotel every 20 minutes 24 hours a day to the airport where you can get the train to New York Penn station.  The hotel staff is very nice and helpful.  I thought the breakfast buffet was overpriced| but it was good and the wait staff was excellent.  The only downside to this hotel is that there is NOTHING around it as far as restaurants| drug stores| markets shopping| etc.  Those are accessible by Uber| Lyft| or cab| though.,1
Great hotel| on site parking and friendly staff... Highly recommend.,1
Great stay bar| food awesome| staff friendly professional,1
Love that they have everything on the premises Starbucks| restaurants airport parking,1
The staff went above and beyond too accommodate my family for our stay. My newlywed cousins were so happy with the service and attention to details.,1
Loved it. Big clean roon. With everything you need.,1
Comfortable and convenient. One mile away from Newark Airport. Shuttle to and from the airport every twenty minutes.,1
It was average experience. Nothing special about it.,1
The property was clean the grand entrance was really nice your staff is friendly will manage. The only thing was the bathroom of room 715 you cannot open the bathroom door fully if the toilet led was down I found that strange.,1
Rooms probably need some updating but overall rooms are comfortable.,1
I cannot believe they do not have a microwave in their rooms. Also the fridge is always off so you have to turn it in before using it.,0
Convenient to airport| quick check in and out| friendly efficient staff,1
The property is clean and in good condition| and it is a good location for those flying into or out of Newark International Airport.  The staff was friendly and professional as well.,1
It was a nice hotel.   Clean and friendly staff.We missed the shuttle by 2 minute and had to wait 28 minutes for the next shuttle and it was pretty full we had to push our way to get on it.   Wished shuttle had a sign up list so those who are early get on without having to fight for a ride.    There is nothing around here to eat at and hotel food was very expensive.   Had to order out.,1
Wasn't asked about Hilton Honours or room preference. Was given room with 2 small beds instead of one larger bed.,0
The front desk staff was very professional and nice| even the housekeeping staff was very nice too.,1
Convenient location for getting in and out of NYC. Quiet and clean.,1
We stayed here for a night after our vacation and before our flight home. It was exactly what we needed. Clean| comfortable and roomy.,1
Room was dusty... No Bueno for an allergy sufferer..,1
Room was good with a comfortable bed and quiet. Hotel is fairly isolated with not much within walking distance| so you are pretty much confined there for meals. Dinner was good| but expensive. Breakfast should be part of the room price|but wasn't for us. $22 per person is too much for a typical 'free' hotel breakfast. Because of this| I would stay elsewhere the next time.,1
Service was good. Hotel was a bit old and dated. There is free shuttle to airport.,1
Curtain was one large blackout curtains so no middle line of sunlight. They allowed a late check-out.The staff were patient and courteous and the airport shuttle was prompt with beyond helpful drivers. Very happy withy stay.,1
All staff was friendly and helpful.  The room was nice and clean.  Kids loved the pool!  Food was expensive so we didn't eat on the restaurant.,1
No bellman for 10 pm check in| otherwise very nice.,1
Loved the room really nice and comfortable.  Staff was great! Loved the indoor pool,1
Great stay. Comfy clean hotel at a good price,1
Very nice hotel close to Newark airport. Rooms very nice. Looks recently remodeled. Very convenient shuttle to a/p.,1
Good would certainly stay there again.  The staff were very obliging| courteous and fun,1
Rooms| staff and restaurant Were great - friendly and clean,1
Nice place for me going on a Tour with a log of people from otter countries,1
Good location and convenient for airport commute|we always stay in this hotel when we travel to/ from Newark|shuttle bus is puncture,1
We (family of 4) stayed there after a NYC visit for an early flight the next morning. A late dinner in the hotel restaurant| the free airport shuttle in the morning and everything else was great. Would definitely do this again.,1
It's an Hilton. Everything good as usual. Good customer service,1
very conveniently located right above a subway station| just across the street from a park| a great restaurant (Pepolino)| and all of Soho: can't beat that.,1
I had a great stay. I would highly recommend.,1
nice place to stay,1
Great location. Clean rooms and friendly service.,1
HGI in Tribeca was one of the most disappointing properties I have stayed at| I have stayed at several. The staff were unfriendly| the location on the border of nice parts of SoHo and a trashy street. The TV was old and remote barely worked| the lock on the door was broken| I could even close the door half the time with out messing with the lock on the inside for several minutes. I got placed next to a noisy supply closet where workers opened| moved things around| and slammed the door. The toilet had issues flushing| the nob on the shower to control heat was also on the fritz.  I love Hilton| but not this property.,0
It's a great hotel to stay at in SoHo!,1
Staff was very helpful for directions and recommendations,1
The location is the best. Even a subway station is there,1
Desk staff was awesome!  Really went the extra mile (early check-in; late check-out).  Still recovering from Covid| so no daily room cleaning| etc.  Had to ask for linens; no coffee in the morning| but they were just coming back into normal when we left.  Great bunch of people.,1
Front desk staff was rude| shower was cold| toilet was semi functional| running for 10 mins with each flush,0
Absolutely great location for the area.  Room was updated and very comfortable.,1
Great location| good for families.,1
The stay was mostly fine and the guest services staff were pleasant| but there wasn't anything spectacular about the stay. The decor is outdated so it was tough to tell if surfaces and areas like the carpet were clean or just old.,1
Clean| comfortable room. Convenient location and friendly staff but neighborhood has deteriorated (trash| graffiti) due to DeBlasio and City Council lack of care and maintenance.,1
Rooms were clean| staff was friendly| and the location was very convenient. You can't ask for much more than that.,1
Who ever stayed in the room before us their shoes were under the bed. The toilet took a few times to flush,1
The staff at this hotel was one of the worst to date! My boyfriend stayed here for a work trip and called me immediately after checking in to fill me in in the attitude of the front desk lady. She was rude| not welcoming and aggressive. He had questions for her about his reservations and she was less than interested to answer anything. Would've much rather stay somewhere where you actually feel WELCOMED at the hotel.,0
It was a very nice hotel| very clean. It was super quiet which made for a good little get away,1
Convenient to the areaWe were visiting by walking,1
The room was big and spacious. No modern walk in shower| but it wasn't bad| tub and shower head. Due to the pandemic| the rooms haven't been used in months so you gotta wait 20 minutes for the hot water to rise. After that it was pretty smooth. They have nice mirrors. Great staff. Wonderful time.,1
Great location| secure| and free parking in surrounding streets starting at 6 p.m. on Friday nights (for the weekend).,1
Property was neat and clean. Great location as well. I would def recommend/stay there again.,1
Very clean and friendly staff. Spacious room. Thank you!,1
Most things were fine. I do wish the staff would wear masks at all times when in the common spaces of the building though. Covid is airborne| so putting on your masks only when a client walks in doesn't help nearly as much as wearing them all the time would. The maid on 5 didn't seem to have a mask at all,1
This hotel is amazing. It is so clean and sanitized. They took extreme measures to make sure their guests stayed covid free. Our room was literally sealed shut with a sticker that said it was sanitized. The front desk was helpful and quick. Will definitely stay here again,1
Great hotel with a great location!Very Clean!,1
Nice place to stay,1
Great location| near to the subway and many options for eating out but don't take it for breakfast available because you'll have a surprise when they say that They haven't offered since the pandemic began and the other negative was the mattress| very uncomfortable,0
Room was clean and comfortable| with fast WiFi. Ok,1
Very clean| very friendly| very accommodating| will be staying here again,1
Alena at the front desk was beyond great! The rooms are super duper clean. The area has lots of restaurants and the subway is right outside. I would definitely recommend this hotel.,1
Your website I suppose is not up to date with the Hilton  garden inn I had my aunt book me a reservation got off my long flight to be told I could not put down a security deposit in cash (50$) nor would they let me call in the numbers over the phone from the same card the room was payed for a reserved under so I am out 100 dollars and no hotel.,0
Great location| super friendly staff. Clean and spacious room(for New York.) My only complaint| is the fire alarm went off twice at 3:30am..so much for a good night's sleep. We did not have to vacate our room| but it was disruptive none the less.,1
Very clean hotel especially with this COVID 19.   I would highly recommend this hotel to anyone looking for a nice location with great service.,1
Very clean great staff pleasant welcomingQuiet rooms are big ....,1
Not too sold on the location but its very close to transportation. Other than that| I was VERY pleased.,1
This is a very nice hotel. Quiet (the doors are solid and seem to seal out ambient noise well).,1
I loved everything about it and thy also don't mind helping I love it,1
Nice place and very comfortable| near train station and different place to buy. A few minutes from wall st and Freedom Tower,1
Location and staff (friendly)Heating in room hard to control.,1
This was very accessible for a girls weekend to visit NYC| Tribeca| Battery Park| 9/11 Museum and memorial. Everything we wanted was walkable within 10-15 mins| easy cab right home in evening. Fabulous Italian restaurant directly across the street - highly recommend! The bar onsite was busy and fun| open for breakfast in the morning. Overall great stay.,1
Located in TriBeCa| with a subway station almost at the entrance. 15 mn walk from World Trade Center. Rooms are spacious but slightly older. Staff is very helpful.,1
We had a really nice view from our room| the staff is very friendly and helpful. Everyone was very kind about my service dog.,1
"The staff were absolutely wonderful and went above and beyond.  Super friendly.  I asked for a quiet room and they found one (you can have a view| or it can be quiet--again| for New York| not like you're in the country). The room was large for New York| water pressure good.  Bed was ok.Downsides: someone mentioned deferred maintenance -- that's also true though nothing was an actual problem.  The walls are that institutional beige that NYC hotels love to use and paper thin| so you will hear what's happening in the hallway.  Oh| and they throttle the ""free"" internet to try and get you to pay.  All of these complaints are very minor| but you might want to know about them.Go in with reasonable expectations and you'll have a nice stay.  I certainly did!",1
We stayed overnight for a pizza class and movie.  Staff was amazing- had room ready early and car valet was so friendly.  Hotel looked great.,1
very convenient location| close to Hudson river & subway| just below soho and above downtown. On checkin| ask for room with street view,1
It was a very nice hotel.  Good bar and grill| however disappointed that it closes so early on a Saturday night.  Otherwise everything else was great.,1
Our recent stay at the Hilton Garden Inn Tribeca was great!  The staff were all welcoming and very helpful.  The room was small which is typical for NYC but with good amenities. Would stay here again.,1
The room was clean which is most important to me. But the hotel was overbooked for rooms with king beds and I was given a room with two double beds| and not refunded the extra $7 I paid to reserve the king room (obviously not a huge deal but would've been nice). Overall was acceptable. I much prefer the Hilton Garden in Financial district| though.Also a random note.... The mattresses were pillow top but both were flipped so that the soft side was facing the floor..... sorta weird. Comfortable nonetheless.,1
Location| street view| didn't get the room expected| compensated with complimentary breakfast,1
