review,date,rating
The hotel was very clean and the staff were extremely helpful and courteous.,Mar 17| 2020,5
The room is dusty. I can see dust floating on the air i soon as i hit the bed. Of course we have to disinfect the surfaces and i found out that the bedside lampshade has not been moved| too much dirt around the base of it. Need to clean / dust it!  Bed sheet so white.  looks new. Thank you. Bathroom is clean,Mar 17| 2020,3
Get a good price for this place and it is a gem. Airport shuttle| clean large and quiet rooms| and an efficient staff. We had excellent service from all but one of the staff| she was less than interested in helping but did provide accurate service at the desk. The rest were positive and engaging. Facilities are a bit dated but who cares if they are clean| functional and at a great price. Seriously| a good value at a good price. If flying in at Newark the free shuttle gets you to the Newark Airport Bus that will deliver you to Manhattan (several locations) for $17| $10 if you are a senior. Great deal!,Mar 14| 2020,4
Service is always good| staff is very friendly....but the AC is lacking| the last 2 times I stayed it was really hot. It runs on High cool but won’t let you set it lower than 66. I know it’s not that cold and it just kept running. Probably be switching the next visit.,Mar 12| 2020,3
Very Nice| the staff was helpful| spacious room| easy to get out| clean room| but to park your car at the hotel was expensive| thanks to the securities that helped me get to my room| because I was drunk at the bar|  that was a hell of a heads up| hats off for them.,Mar 11| 2020,4
Staff where very helpful and friendly. Room was comfortable and the cleaning staff for room 417 on my visits where amazing. They could not do enough for me.,Mar 10| 2020,4
Terrible you have to pay for the parking additional and we don’t have breakfast| I am well diagnosed with the reservation here at E Hilton hotel| a hotel with prestige and the service so bad and the people who are in the reception of the worst I definitely do NOT recommend it to anyone,Mar 9| 2020,1
Location is between 2 major highways. Very noisy outside.,Mar 9| 2020,4
Staff was super amazing from the minute we walked in. Rooms were super clean. Everything was great except parking. But overall Very happy with our stay,Mar 8| 2020,5
Room was clean| however there was no place to purchase a drink after we returned from a concert. We assumed there would be a vending machine| however none was found.,Mar 8| 2020,4
I received a handicap room. The closet only had a low rod so I was unable to hang my garments without them touching the floor. The bathroom door was a heavy sliding door and didn't close all the way. There wasn't a bathroom vanity -just the sink with no countertop space to place my toiletries. The mini fridge wasn't working either. The main light in the room wasn't working either-only the little night lights.,Mar 5| 2020,3
Generally| OK property.  However| they still charge for in room use of internet.  And| when I asked about this the front desk rudely said "every hotel makes this charge."  Hahaha.,Mar 5| 2020,1
I loved everything it was a great experience I would go again,Mar 2| 2020,5
City view. It was very nice. It has a Starbucks also,Mar 2| 2020,4
Everything is ok| clean| and well located. Good service with shuttles,Mar 1| 2020,4
Close to the airport | easy to book.Nice place (breakfast could open before),Mar 1| 2020,5
1 night| good stay... got it in a well priced offer and no regrets at all,Feb 29| 2020,4
The staff were very accomadating| and the room service was ok. The room left alot to be desired| the sink did not drain| the toilet was dirty| the hot water in the shower was not working. One very apparent issue was the noise factor as the hotel is on the highway that is all you could hear all night. My suggestion is to renovate| update your rooms if you are to compete with surrounding hotels. it is important as a traveler to feel comfortable in your surroundings and first and foremost cleanliness is huge.,Feb 27| 2020,2
I would have rated higher| however| My boss asked to cancel the hotel| which I did | BUT| they charged me for 1 night of the 2 night stay| even though it was canceled 72 hours before arrival. Then my boss changed his mind and I had to rebook and calling the hotel they could not get that charged day back. Terrible policy and will not likely stay there again. Plenty of other choices out there.,Feb 23| 2020,3
My third time at this hotel. The second and third time I could not find parking in the open lot or in the parking structure. Had to use valet.,Feb 22| 2020,4
Room That was reserved unavailable Check in man was ok not friendly,Feb 22| 2020,4
Very clean and comfortable beds! Front desk service was amazing!,Feb 20| 2020,5
I liked how clean everything was. The staff at the front desk were very nice and helpful.,Feb 18| 2020,5
Decent room. No movies on TV. Nice bar and the food looked good| lots of people eating at the bar. Breakfast quite expensive unless you get the all inclusive deal. We left our car there for the week at a reasonable price.,Feb 18| 2020,4
Great location near the airport.  Maybe it's just NJ (and I'm from the Midwest)| but food and beverage prices were "high" in my humble opinion - $15 for a margarita| $23 for the breakfast buffet...,Feb 17| 2020,4
Muy bueno y volvería ir de nuevo 😊😊😊😊😊😊😊😊😊😊😊😊,Feb 17| 2020,5
It is a nice hotel to "pass by"| but nothing to do around. No real other option for eating other than the (good but pricey) in house restaurant/pub.,Feb 16| 2020,4
My flight was delayed so I had a late check in. The gentleman at the front desk was rushing to complete my check in which was bitter sweet because I was tired but I also had questions. The next morning I heard a gushing sound coming from the restroom| got up and the toilet was over flowing. I had to call the front desk twice before I got an answer and even when I did I was put on hold. The plumber came up pretty quick but he wasn’t prepared for what he found so he left and returned 10 minutes later. He fixed it but left soaking wet towels on the bathroom floor and said that housekeeping would be by to pick them up. I dozed back off waiting on them| which was no big deal because i was still tired. I woke about 1030 am| two hours after the incident| called for housekeeping to come get the wet towels and bring fresh towels because the plumber used mine. No one came and after 30 minutes I called back| the front desk lady appeared to have an attitude because she asked me to understand that it may be a while because there was a lot going| as though that’s my fault. I got dressed to go downstairs and get the towels myself because I had to be in NYC in less than an hour and was pissed when I saw two housekeepers on my floor laughing in the hallway. I asked if they were aware that I had a leak in my room and needed fresh towel and both said no. I was furious but let it go. The whole experience almost ruined my morning and made me late.,Feb 14| 2020,3
The staff were very polite and accommodating in a situation where they had a lots of last minute bookings due to transportation and cruise ship delays.,Feb 13| 2020,4
close to the airport| very convenient| good shuttle,Feb 13| 2020,4
Check in took a long time| but i think the problem was Expedias fault,Feb 12| 2020,3
This place is so unsafe| the door doesn't lock| i been robbed at this property|  they have no security cameras in the hallways| and I'm still waiting to get an answer regarding my stolen belongings,Feb 12| 2020,1
The room we stayed in had a good bed and the room was clean,Feb 10| 2020,3
The only things I can said is the parking is a nightmare. Is hard to found parking.,Feb 10| 2020,4
This property is very outdated and the heating system sucks!,Feb 6| 2020,1
Super close location to Liberty EWR.  Friendly staff and clean room.  Room temperature difficult to control.  Heater does not work.,Feb 6| 2020,5
Clean| large and comfortable room.  Quiet. Good restaurant.,Feb 3| 2020,5
Close to airport so much less of a hassle.Restaurant on premises  is a plus .,Feb 1| 2020,5
The staffer at the desk was smug and unhelpful. Would recommend going to the Marriott next time.,Jan 28| 2020,3
Although it is older it is clean| the staff amazing& the food was pretty great,Jan 27| 2020,5
Poor customer service. There was a mistake in the reservation and the staff was not helpful to try to solve it.,Jan 26| 2020,2
Loved everything at the hotel bartenders were great great service at check-in ride from airport to hotel and hotel back to airport was right on time thank you Hilton for making our stay so pleasurable,Jan 22| 2020,5
Hotel was great for staying close to the airport. Everything was good.,Jan 21| 2020,5
This hotel is close to airport and complementary shuttle.,Jan 17| 2020,4
The desk office chair in the room was broken. We arrived too late and tired to spend time getting it taken care of. An unnecessary inconvenience.,Jan 16| 2020,3
Clean| modern and comfy bed. I highly recommend for Newark Airport stay.,Jan 9| 2020,4
For a hotel to stay in when you have just got off the plane after travelling for 40 hours this did the job and did it well.  The complimentary shuttle from the Newark Airtrain station and written advice on how to get to Manhattan from the hotel were both a God-send.  It is perfectly clean and comfortable.  We could get room service pizza and a glass of wine when we arrived and a perfectly OK buffet breakfast the next morning before we moved on to Manhattan.  The service was very good.  Other than convenience there is nothing outstanding about this place but on convenience it was excellent.,Jan 8| 2020,4
The staff was great and the location was perfect. The shuttle came and left on time.,Jan 8| 2020,5
Very nice and adequate. Will be back soon,Jan 7| 2020,5
It’s not bad for a night layover near Newark airport.,Jan 7| 2020,4
Clean| comfortable| efficient staff| 25 hour airport shuttle.,Jan 6| 2020,5
Great hotel for an overnight close to Newark Airport. Nice facility| rooms are a good size| fitness room and pool.,Jan 4| 2020,4
Do not like paying for parking. Easy access to airport. Nice property| exceptionally clean. Especially appreciate front desk staff who were very friendly and more than efficient.,Dec 29| 2019,5
The hotel was very nice.  I found the employees lacking in friendliness.We arrived early morning and our room was ready which was very nice.The check in person was not very friendly and other employees when we asked questions were not very friendly but I would stay there again.  The beds were very comfortable.,Dec 28| 2019,4
It is close the airport but the interior is very worn and tired.  it definitely needs TLC,Dec 27| 2019,3
Closeness to the airport...NO restaurant on Mondays have to eat in bar area.,Dec 24| 2019,3
Missed flight due to weather - stayed at airport.  Free airport shuttle. Great location - and restaurant (very convenient).,Dec 20| 2019,4
The “courtesy” Van was anything but courtesy. It also needs to be cleaned.It took 3 try’s to get into a room with a key that worked. Really nasty front desk man!!,Dec 17| 2019,1
Park and fly near Newark Airport.  Good rates.,Dec 16| 2019,4
The front desk and bellman staff were very helpful.,Dec 15| 2019,5
Me and partner had a wonderful stay| clean room| wonderful customer service and it couldn’t have been any easier :),Dec 15| 2019,5
Loved the proximity to the airport. Staff were delightful. Room was comfortable and quiet. Appreciated the shuttle to the airport at 4 am!,Dec 12| 2019,5
The only property in the area that charges excruciating parking rates for guests.  All other hotels in the area do not charge for parking except the Hilton. Terrible location. No quality restaurants in the area. No  microwave oven and the refrigerator was actually a freezer because everything we put in it froze. This property should not be wearing the Hilton name.,Dec 9| 2019,1
Very much an average stay. Nothing special.,Dec 9| 2019,3
Only the shuttle experience was unpleasant... for one| not enough seats on the shuttle bus on the way TO the hotel (after a very long wait to begin with)| and not enough seats on the shuttle bus on the way back to the airport the next morning. Also| a completely chaotic shuttle boarding system even at the hotel in the morning (where it could easily be properly organized)... if you carry luggage| you are less likely to make it on the bus because those with small items can enter the bus even if you arrived at the stop first and lined up to put your luggage in the back of the shuttle.,Dec 7| 2019,4
Easy and quick from airport. great shuttle service. No business center. Not close to office supply store to get printing done.  Not close to outside restaurants.,Dec 6| 2019,4
Didn’t like the fact that there was a parking fee!,Dec 5| 2019,4
Room did not include any beverages| not even water. Really comfortable bed and spacious room.,Dec 4| 2019,4
Staff was very helpful,Dec 4| 2019,5
I had an extremely bad experience with a server at the restaurant.,Dec 3| 2019,1
My husband and I stayed here for a quick overnight stay after getting in from a late afternoon flight. This hotel was terrible - our room was not clean| there was hair all over the place and some of the furniture was stained. Our air-conditioner was broken and while engineering fixed it for a few hours| it broke again in the middle of the night so our room was about 80 degrees. The service was alright but nothing stellar. Overall this was a very unpleasant experience and one that was really regrettable after what had been a lovely vacation. I would not recommend staying here.,Dec 2| 2019,1
The thermostat didn’t function. Never could get the temp below 78.,Dec 2| 2019,3
Shower had hair all over in it and the rims of the toilet so the maids need to clean better other than that everything was fine!,Dec 1| 2019,4
Stay was good trying to contact your desk from outside facility to inquire about shuttle was brutal.,Dec 1| 2019,5
Staff was very helpful,Dec 4| 2019,5
I had an extremely bad experience with a server at the restaurant.,Dec 3| 2019,1
